Stock,Date ,Date
CRC,1 for 10 ,6/1/2016
CREG,1 for 10 ,4/15/2020
CRF,1 for 4 ,12/29/2014
CRIS,1 for 5 ,5/30/2018
CRK,1 for 5 ,8/1/2016
CRM,1 for 20 ,7/6/2000
CRMD,1 for 5 ,3/26/2019
CRTX,1 for 10 ,11/3/2008
CSBR,1 for 12 ,8/12/2015
CSII,1 for 10 ,2/26/2009
CTIB,1 for 3 ,11/5/1999
CTIC,1 for 10 ,1/3/2017
CTSO,1 for 25 ,12/5/2014
CUI,1 for 30 ,2/17/2012
CUZ,1 for 4 ,6/17/2019
CVM,1 for 25 ,6/15/2017
CWH,1 for 4 ,7/1/2010
CXDC,10 for 1241 ,2/6/2009
CXW,1 for 10 ,5/18/2001
CYCC,1 for 20 ,4/15/2020
CYRX,1 for 10 ,2/5/2010
CYTK,1 for 6 ,6/25/2013
CYTR,1 for 6 ,11/1/2017
DAC,1 for 14 ,5/2/2019
DCTH,1 for 16 ,7/21/2016
DD,4725 for 10000 ,6/3/2019
DDD,1 for 4 ,2/2/2000
DFFN,1 for 15 ,12/14/2018
DGLY,1 for 8 ,8/24/2012
DHT,1 for 12 ,7/17/2012
DIN,1 for 10 ,5/22/2000
DIT,1 for 6 ,5/17/2004
DMPI,1 for 10 ,5/8/2019
DNI,1 for 4 ,12/10/2012
DNR,1 for 2 ,10/17/1996
DOG,1 for 4 ,5/24/2018
DPW,1 for 40 ,8/6/2019
DQ,1 for 5 ,12/21/2012
DRAD,1 for 10 ,6/5/2019
DRE,10 for 42 ,10/4/1993
DRIP,1 for 5 ,6/28/2019
DRV,1 for 5 ,6/28/2019
DSS,1 for 4 ,8/26/2016
DSU,1 for 3 ,11/16/2016
DUG,1 for 4 ,6/10/2013
DUK,1 for 3 ,7/3/2012
DUST,1 for 5 ,8/25/2016
DVAX,1 for 10 ,11/10/2014
DWSN,1 for 3 ,2/12/2015
DX,1 for 3 ,6/21/2019
DXD,1 for 4 ,5/24/2018
DXPE,1 for 2 ,7/20/1998
DYNT,1 for 5 ,12/19/2012
DZSI,1 for 5 ,3/1/2017
EAST,1 for 3 ,6/15/2017
EBIX,1 for 5 ,5/8/1998
ECOM,1 for 2 ,6/21/2004
EDC,1 for 4 ,3/24/2016
EDZ,1 for 5 ,3/29/2018
EEV,1 for 5 ,5/24/2018
EEX,1 for 3 ,12/9/1998
EFU,1 for 4 ,6/10/2013
EGLE,10000 for 181976 ,10/16/2014
EGO,1 for 5 ,12/31/2018
EGPT,1 for 4 ,7/1/2013
EIGR,1 for 15 ,3/23/2016
EKSO,1 for 15 ,3/25/2020
ELGX,1 for 10 ,3/6/2019
ELTK,1 for 5 ,11/22/2017
EMITF,1 for 3 ,6/27/2016
EMKR,1 for 4 ,2/16/2012
EMLC,1 for 2 ,10/26/2018
EMMS,1 for 4 ,7/8/2016
EPV,1 for 4 ,1/24/2014
EQIX,1 for 32 ,12/31/2002
EQX,1 for 5 ,8/20/2019
ERI,100 for 375 ,11/20/2008
ERUS,1 for 2 ,11/7/2016
ERX,1 for 10 ,3/24/2020
ERY,1 for 5 ,3/29/2018
ESEA,1 for 8 ,12/19/2019
ESMC,1 for 4 ,11/24/1997
ETFC,1 for 10 ,6/2/2010
EVFM,1 for 6 ,1/18/2018
EVOL,1 for 2 ,7/21/2009
EWI,1 for 2 ,11/7/2016
EWJ,1 for 4 ,11/7/2016
EWM,1 for 4 ,11/7/2016
EWS,1 for 2 ,11/7/2016
EWT,1 for 2 ,11/7/2016
EWU,1 for 2 ,11/7/2016
EWV,1 for 4 ,1/24/2014
EXPE,1 for 2 ,12/21/2011
EYEG,1 for 15 ,8/30/2019
EYES,1 for 8 ,1/6/2020
FAS,1 for 5 ,11/10/2011
FAZ,1 for 5 ,6/28/2019
FBC,1 for 10 ,10/11/2012
FBP,1 for 15 ,1/7/2011
FCEL,1 for 12 ,5/9/2019
FCG,1 for 5 ,5/2/2016
FFHL,1 for 4 ,12/6/2016
FIVE,1 for 4 ,5/20/1998
FORD,1 for 2 ,12/24/1997
FRAK,1 for 10 ,4/15/2020
FRAN,1 for 12 ,7/2/2019
FRO,1 for 5 ,2/3/2016
FRPT,1 for 12 ,2/4/2005
FTR,1 for 15 ,7/10/2017
FVE,1 for 10 ,10/1/2019
FXP,1 for 4 ,5/24/2018
GALT,1 for 6 ,3/23/2012
GASS,1 for 4 ,6/8/1994
GBLI,1 for 2 ,7/6/2010
GBR,1 for 25 ,12/3/2001
GCAP,1 for 5 ,9/11/1996
GDP,1 for 8 ,3/13/1998
GDXJ,1 for 4 ,7/1/2013
GECC,1 for 4 ,9/16/1998
GENE,1 for 4 ,8/15/2019
GER,1 for 9 ,4/14/2020
GEVO,1 for 20 ,6/4/2018
GIGA,1 for 15 ,12/13/2019
GLBS,1 for 10 ,10/15/2018
GLG,1 for 5 ,1/17/2019
GMZ,1 for 7 ,4/14/2020
GNCA,1 for 8 ,5/22/2019
GNK,1 for 10 ,7/8/2016
GNL,1 for 3 ,3/1/2017
GOL,1 for 10 ,2/26/2016
GPX,1 for 4 ,10/9/1995
GRFS,1 for 2 ,7/23/2012
GRVY,1 for 8 ,5/11/2015
GSB,1 for 18 ,8/26/1993
GSL,1 for 8 ,3/25/2019
GSS,1 for 5 ,10/30/2018
GTE,1 for 15 ,5/23/2005
GTIM,1 for 5 ,2/23/1998
GURE,1 for 5 ,1/28/2020
GUSH,1 for 40 ,3/24/2020
GYRO,9 for 100 ,9/1/2015
HEAR,1 for 4 ,4/9/2018
HHS,1 for 10 ,2/1/2018
HII,1 for 10 ,1/20/2000
HLT,1000 for 2052 ,1/4/2017
HOV,1 for 25 ,3/29/2019
HRI,1 for 3 ,7/1/2016
HSON,1 for 10 ,6/11/2019
HT,1 for 4 ,6/23/2015
HTA,1 for 2 ,12/16/2014
HTBX,1 for 10 ,1/22/2018
HTD,1 for 5 ,7/10/2000
HYB,1 for 5 ,1/23/2009
HYD,1 for 2 ,10/26/2018
IAC,18 for 20 ,8/9/2005
IART,1 for 2 ,5/26/1998
IBIO,1 for 10 ,6/11/2018
ICAD,1 for 5 ,8/16/2012
ICCC,1 for 100 ,7/25/1990
ICD,1 for 20 ,3/12/2020
ICON,1 for 10 ,3/14/2019
IDN,1 for 8 ,8/13/2014
IDRA,1 for 8 ,7/30/2018
IDT,1 for 3 ,2/25/2009
IDXG,1 for 10 ,1/15/2020
IESC,1000 for 17092 ,5/15/2006
IGC,1 for 10 ,4/19/2013
IGOI,1 for 12 ,2/5/2013
IHG,949 for 1000 ,1/14/2019
INDL,1 for 4 ,3/24/2016
INFI,1 for 4 ,9/13/2006
INO,1 for 4 ,6/6/2014
INOD,1 for 3 ,3/25/1998
INPX,1 for 45 ,1/7/2020
INUV,1 for 10 ,12/13/2010
INVA,1 for 8 ,4/26/2001
INVE,1 for 10 ,5/27/2014
INVT,1 for 10 ,12/8/2015
IO,1 for 15 ,2/5/2016
IPDN,1 for 8 ,9/27/2016
IPWR,1 for 10 ,8/20/2019
IRET,1 for 10 ,12/28/2018
ITM,1 for 2 ,10/26/2018
JAGX,1 for 7 ,6/7/2019
JCI,955 for 1000 ,9/6/2016
JDST,1 for 4 ,5/1/2017
JNK,1 for 3 ,5/6/2019
JNUG,1 for 5 ,6/28/2019
JOB,1 for 10 ,10/9/2015
JRJC,1 for 10 ,1/6/2020
KAI,1 for 5 ,7/12/2001
KALV,1 for 14 ,11/22/2016
KEM,1 for 3 ,11/8/2010
KF,1 for 10 ,12/22/2008
KFS,1 for 4 ,7/5/2012
KGC,1 for 3 ,2/3/2003
KIDS,1 for 2 ,3/22/1996
KOL,1 for 10 ,4/15/2020
KRG,1 for 4 ,8/12/2014
KSU,1 for 2 ,7/13/2000
LABD,1 for 10 ,3/29/2018
LABU,1 for 4 ,3/24/2016
LBJ,1 for 20 ,3/27/2020
LC,1 for 5 ,7/8/2019
LDOS,405 for 1000 ,9/30/2013
LDP,1 for 10 ,6/24/2002
LEDS,1 for 10 ,4/18/2016
LEU,91 for 1000 ,9/30/2014
LFVN,1 for 7 ,10/19/2015
LH,1 for 10 ,5/4/2000
LIFE,1 for 14 ,7/1/2019
LIQT,1 for 4 ,4/9/2019
LIT,1 for 2 ,11/18/2015
LIVE,1 for 6 ,12/8/2016
LJPC,1 for 5 ,12/22/2005
LMFA,1 for 10 ,10/16/2018
LNG,1 for 4 ,10/18/2000
LODE,1 for 5 ,11/29/2019
LONE,1 for 2 ,7/6/2016
LTBR,1 for 12 ,10/21/2019
LTRX,1 for 6 ,12/21/2009
LXRX,1 for 7 ,5/21/2015
MACK,1 for 10 ,9/6/2017
MAG,1 for 10 ,12/5/2011
MAIN,1 for 4 ,7/24/1995
MARA,1 for 4 ,4/8/2019
MBOT,1 for 15 ,9/5/2018
MCEP,1 for 20 ,4/13/2020
MCF,1 for 2 ,12/4/2000
MDCA,1 for 6 ,5/31/1996
MDGL,1 for 35 ,7/25/2016
MDXG,3235 for 10000 ,4/2/2008
MEIP,1 for 6 ,12/19/2012
MFNC,1 for 20 ,12/16/2004
MGI,1 for 8 ,11/15/2011
MLR,1 for 5 ,10/1/2001
MMX,1 for 4 ,5/12/1998
MNKD,1 for 5 ,3/3/2017
MOBL,1 for 200 ,11/19/2001
MOSY,1 for 20 ,8/28/2019
MR,1 for 15 ,3/1/2019
MRIN,1 for 7 ,10/6/2017
MSI,10000 for 40425 ,1/4/2011
MT,1 for 3 ,5/22/2017
MTEM,1 for 11 ,8/2/2017
MTEX,1 for 10 ,1/17/2012
